unit_order,unit_id,unit_title,A4095,P3465,P3475,R2536,CCCP578,P3471
1,1c7574b7-0dab-49c3-bcd8-a6470ea04a6d,Chapter Title,باب الأسد وابن آوى,باب الأسد وابن آوى,باب الأسد والشغمر الصوّام,باب الأسد وابن آوى الصوّام,باب الأسد وابن آوى,وهذا باب الأسد والشهمير الصوّام الناسك
2,6c9f1f3b-985a-46df-be9c-84fc6b27309e,Chapter Title Explanation,,,وهو باب السلطان وأعوانه,,وهو باب وزراء السلطان,وهو باب وزراء السلطان وأعوانه وقرائبه ومعارفه وصحابته
3,48e2ae01-4fcc-497c-b1cc-8d3818d3d88f,Chapter Abstract,,,,,وهو مثل من يناله السلطان بالجفوة والمكروه من خاصّتهم وعمّالهم وأعوانهم حتّى يشرف على الهلكة بسعاية من أعدائهم واحتيال منهم في أمره لاستثقالهم إيثار الملك إيّاه وحسدهم له على منزله فيستبين للملك ما كان من سعايتهم,
4,f6420a21-69df-4c16-a343-4c46de8325e7,Chapter Function,,,,,وفي هذا الباب داعية للملوك إلى مراجعة من جفوه وداعية للذي تناله الجفوة إلى حسن الظنّ والانبساط واتّساع *الأمل,
5,cf25b0ab-5b6e-4b43-9723-c75bc90798a9,King Understood Previous Chapter,قال الملك للفيلسوف قد سمعت هذا المثل,قال ديشلم الملك لبيدبا الفيلسوف قد سمعت هذا المثل,قال الملك للفيلسوف قد سمعت منك باب الذي يدع عمله الذي يعمل ويليق به,قال الملك للفيلسوف قد سمعت هذا المثل,قال الملك للفيلسوف قد سمعت مثل العدوّ !المؤثر الذي لا يطمئنّ إلى عدوّه,قال الملك *للفيلسوف قد سمعت مثل الغدر *والموتور الذي لا يُطمأنّ إليه
6,c9b5e2b0-7b78-476a-99a8-4e25b2322728,King Asks about Reconciling a Courtier,فاضرب لي مثل الملوك فيما بينهم وبين قرائبهم وفي مراجعة من يراجع منهم بعد عقوبة أو جفوة تكون عن ذنب يذنبه أو ظلم يظلمه,فاضربْ لي مثل الملك الذي يراجع من أصابته منه جفوة أو عقوبة من غير جرم أو جفوة من غير ذنب,فاضرب لي مثل الملوك فيما بينهم وبين قرابتهم وفي مراجعة من يراجع منهم بعد عقوبة أو جفوة يكون عن ذنب يذنبه أو ظلم يظلمه,فاضرب لي مثل الملوك فيما بينهم وبين قرابتهم وخاصّتهم في مراجعة من راجع منهم بعد عقوبة أو جفوة تكون عن ذنب يذنبه أو ظلم يُظلم به فيأمر الملك بعقوبته,فاضرب لي مثل الملوك فيما بينهم وبين قرابتهم ?ولا مراجعة من يراجع منهم بعد عقوبة أو جفوة,فاضرب لي مثل الملوك فيما بينهم وخاصّتهم في مراجعة من يراجع منهم بعد عقوبة أو جفوة تكون عن ذنب يذنبه أو ظلم يظلمه فيأمر الملك بعقوبته
7,9df08ffa-4a13-4820-9013-872c89eec4cc,Philosopher Supports Reconciliation of a Courtier,قال الفيلسوف إنّ الملك لو كان لا يراجع من أصابته جفوة أو عقوبة عن جرم اجترمه أو ظلم ظلمه *أضرّ ذلك بالأمور والأعمال,قال الفيلسوف إنّ الملك لو لم يراجع من أصابته منه جفوة عن ذنب أو غير ذنب ظلم أو لم يظلم لأضرّ ذلك بالأعمال,قال الفيلسوف إنّ الملك لو كان لا يراجع من أصابته جفوة أو عقوبة عن جرم أجرمه أو ظلم ظلمه أضرّ ذلك بالأمور والأعمال,قال الفيلسوف إنّ الملك لأولى أن يراجع من أصابته جفوة أو استحقّ عقوبة من جرم اجترمه أو ظلم رُمي به إذ *لأضرّ ذلك بالأمور والعمل,قال الفيلسوف لو كان الملك لا يراجع من أصابته الجفوة والعقوبة عن جرم اجترمه إذًا لأضرّ ذلك بالأمور والأعمال,قال الفيلسوف إنّ الملك لو كان يراجع من أصابته جفوة أو استحقّ عقوبة عن جرم اجترمه أو ظلم ظلمه إذن لأضرّ ذلك بالأمور والأعمال
8,2572b629-101e-44f5-9378-c25b2700ca84,King to Consider Value of a Suspect,ولكنّ الملك حقيق أن ينظر في حال من ابتُلي بشيء من ذلك وما عنده من الغَناء الذي يرجو منه النفع,ولكنّ الملك حقيق أن ينظر في حال من ابتُلي بذلك ويَخبر ما عنده من المنافع,ولكنّ الملك حقيق ***,ولكنّ الملك حقيق أن ينظر في أمر من كان كذلك,,ولكنّ الملك حقيق بالنظر في أمر من ابتلي بشيء من ذلك وما عنده من الغنى والذي يرجوه منه من النفع
9,5474f3bb-eab2-40a8-be57-ae4405f540f2,King to Reconcile the Reliable,فإن كان ممّن يُستعان به ويُوثق برأيه وأمانته كان الملك حقيقًا بالحرص على مراجعته والحرص عليه منه بذلك,فإن كان ممّن يُوثق به في رأيه وأمانته فإنّ الملك حقيق بالحرص على مراجعته,,فإن كان ممّن يُراجع ويُرجى عنده نصيحة كان الملك أحقّ بالنظر في العفو عنه واستبقائه,فإذا كان ممّا يُستعان به ويُوثق برأيه وأمانته كان الملك أحقّ بالحرص له على مراجعته وأمانته وكفايته,فإن كان ممّن كان يُستعان به ويُوثق برأيه وأمانته أو كان ممّن يُرجى عنده نصيحة كان الملك أحقّ بالحرص على مراجعته والنظر في العفو عنه والاستبقاء له
10,3174c5a2-5d2f-4527-8ae0-be4b01ddf41e,Aides Are Essential to Rule,فإنه المُلك لا يُستطاع إلّا بالوزراء والأعوان ولا يُنتفع بالوزراء والأعوان إلّا بالمودّة *والنصيحة ولا مودّة إلّا مع إصابة الرأي والنصيحة والعقل,فإنّ المُلك لا يُستطاع إلّا مع ذوي الرأي وهم الوزراء والأعوان ولا يُنتفع بالوزراء إلّا بالمودّة لهم والنصيحة ولا مودّة إلّا لذوي الرأي والعفاف,*** بالوزراء والأعوان إلّا بالمال,فإنّ الملوك لا تستطيع عملًا إلّا بالوزراء وأهل المودّات والأعوان ولن ينتفع الوزراء إلّا بمودّة الملوك,قال فإنّ المُلك لا يُستطاع إلّا بالوزراء والأكفّاء والعمّال ولا ينفع الوزراء إلّا بالمودّة والنصيحة,فإنّ المُلك لا يُستطاع إلّا بالوزراء والأعوان ولن يُنتفع بالوزراء والأعوان إلّا بالمودّة والنصيحة ولا المودّة والنصيحة ولا مع أصالة الرأي والعفاف
11,5a793970-250c-41e3-b197-dbe3d8bfbf3e,Kings' Duties Are Many,وأعمال الملك كثيرة ومن يحتاج إليه من العمّال والأعوان كثير ومن يجمع منهم الذي ذكرت من النصيحة وأصالة الرأي والعفاف قليل,وأعمال السلطان كثيرة والذين يُحتاج إليهم من العمّال والأعوان كثيرون ومن يجمع منهم ما ذكرت من النصيحة والعفاف *قليل,ومن يجمع منهم [الما] *العمّال والنصيحة وأصالة الرأي,,,وأعمال الملوك كثيرة متفرّقة ومن يحتاجون إليه من المكانفين والمعاونين عليها كثير ومن يجمع منهم ما وصفت من النصيحة وإصابة الرأي والعفاف قليل
12,5d4a709f-2d56-4b5f-8aa8-37c74d762ac8,King Must Know Everyone,وإنّما السبب في الوجه الذي به يستقيم العمل أن يكون الملك عالمًا بمودّة من يريد الاستعانة به وبأمورهم وما عند كلّ رجل منهم من الرأي والغناء وما فيه من العيوب,,*** في الوجه الذي يستقيم ولكلّ قوم عمل,وإنّما السبيل إلى إصلاح أمر الملك أن يعرف الملك من يريد الاستعانة عند الناس وما عند كلّ واحد ممّن يختار من الناس من الرأي والمعرفة للملك,وإنّما الرأي في ذلك الوجه الذي يستقيم فيه العمل أن يكون الملك عالمًا بهم وبالأمور التي يُستعان بهم فيها وما عند كلّ رجل من الرأي وما فيهم من العيوب,وإنّما الشكل في ذلك والوجه الذي يستقيم به العمل أن يكون الملك عالمًا بمودّة من يريد الاستعانة به وأموره وما عند كلّ رجل منهم من الرأي السديد والعفاف وما فيه من المساوئ والعيوب
13,a9c79a97-4eb6-43ca-bbd4-22efc520ff96,King Must Choose Suitable People,فإذا *استقرّ ذلك عنده من علمه *أو علم غيره وعَلم ما يستقيم به وجّه لكلّ عمل من قد عرف أن عنده من الأمانة والنجدة والرأي ما يستقلّ بذلك العمل وأنّ الذي فيه من العيب لا يضرّ بذلك العمل ويتحفّظ من أن يوجّه أحدًا في وجه لا يحتاج فيه إلى مروءة وإن كانت عنده ولا *يأمن عيوبه وعاقبته إن كانت بكسرة منه,,,,,فإذا استقرّ ذلك عنده عن علمه أو عَلم من يأتمن به يستقبل به كلّ رجل هيّأ لكلّ عمل من قد عرف نبله وعَلم أن عنده من الأمانة والنجدة والرأي ما يستقبل بذلك العمل وأنّ الذي فيه من العيب لا يضرّ ذلك العمل ويتحفّظ من أن يوجّه أحدًا وجهًا لا يحتاج فيه إلى مروءة وإن كانت عنده ولا يأمن فيه ما يكره منه من عيوبه وعاقبة
14,d92fe786-c9b8-406e-8319-165226fcd34f,King Must Reward and Punish,ثمّ على الملك بعد ذلك تعاهُد عمَّاله والتفقُّد لأمورهم حتّى لا يخفى عليه إحسان محسن ولا إساءة مسيء ولا عاجزًا على العجز والإساءة,,,ثمّ يكافئ المحسن من وزرائه ونصحائه على إحسانه ويردع المسيء عن إساءته,ثمّ على الملك بعد ذلك تعاهد أعمالهم وتفقّد أمورهم حتّى لا يخفى عليه إحسان محسن ولا إساءة مسيء ثمّ عليه بعد ذلك أن لا يترك محسنًا بغير إحسان ولا جزاء ولا ?يقارفا مسيئًا ولا عاجزًا على العجز والإساءة,ثمّ على الملك بعد ذلك تعاهد أعمالهم وتفقّد أمورهم حتّى لا يخفى عليه إحسان محسن ولا إساءة مسيء ثمّ عليه بعد ذلك أن لا يترك محسنًا بغير جزاء ولا يقرّ مسيئًا ولا عاجزًا على ما هما عليه من ذلك
15,7a870c2f-4655-4dfd-9e15-747c3d05e8e6,Lack of Assessment Damages,فإنّهم إن ضيَّعوا ذلك وتهاونوا به تهاون المحسن *واجترأ المسيء ففسد الأمر وضاع العمل,,,,فإنّهم إن تركوا ذلك تهاون المحسن *واجترأ المسيء وفسد الأمر وضاع العمل,فإن [إن] فعل ضيّع ذلك وتهاون المحسن واجترأ المسيء ففسد الأمر وضاع العمل
16,e32d2d17-abcd-4856-9ffb-c7acb03b94ea,Philosopher Mentions Parable,ومثل ذلك مثل الأسد وابن آوى قال الملك وكيف كان ذلك,والمثل في ذلك مثل الأسد وابن آوى قال الملك وكيف كان ذلك,ومثل ذلك الأسد وابن آوى قال الملك وكيف كان ذلك,وفي بعض الأمثال لما سألت عنه شبيه قال الملك وما ذاك,والمثل في ذلك مثل الأسد وابن آوى قال الملك وكيف كان ذلك,وفي بعض الأمثال لما سألت عنه تنبيه قال الملك
17,0bb63b10-5c1f-4f97-838c-688bb773464e,Lion and Jackal Parable,,,,,,
