unit_order,unit_id,unit_title,A4095,A4095-Mc-English,CCCP578,CCCP578-Mc-English,P3465,P3465-Mc-English,P3466,P3466-Mc-English,P400,P400-Mc-English,R2536,R2536-Mc-English
1,8ed98aa8-2cb8-49ad-b198-3012e46a7f5a,Chapter Title,باب السنّور والجرذ,The Chapter of the Cat and Rat,باب الجرذ والسنّور,The Chapter of the Cat and Rat,باب الجرذ والسنّور,The Chapter of the Cat and Rat,باب الجرذ والسنّور,The Chapter of the Rat and Cat,باب الجرذ والسنّور,The Chapter of the Cat and Rat,باب السنّور والجرذ,The Chapter of the Cat and Rat
2,e28d2615-9a0c-4c9a-8ede-c56a7c5827a9,Abstract,,,,,,,,,,,,
3,b28ab3b3-b8e2-4e42-8b46-d48dc3755e0d,The King Asks about Escaping Enemies,قال الملك للفيلسوف قد سمعت المثل الذي ضربت فاضرب لي الآن إن رأيت مثل رجل كثر عدوّه وحصروه من كلّ جانب فأشرف للهلكة فالتمس المخرج بموالاة بعض العدوّ ومصالحته فسلم ممّا يتخوّف ووفى لمن صالح منهم فأخبرني عن موضع الصلح وكيف يُلتمس ذلك,"“I have heard the parable you presented,” said the King to the Philosopher. “Present to me now, if you will, the parable of a man whose enemies are many and surround him on every side; who is on the brink of perishing; who sought a way out by partnering with one of the enemies, reconciling with him; who was saved from that he feared; and who kept his promise to the one enemy with whom he had reconciled. Tell me about the nature of truce and how that is sought.",قال الملك للفيلسوف قد فهمت ما ذكرت من أمر العلم والعقل وما لصاحبهما من المنفعة والفضل فاضرب لي مثل رجل كثير أعداؤه وقد أشرف على الهلكة منهم والتمس مصالحتهم لما يتخوّفه منهم فأخبرني عن موضع الصلح وكيف ينبغي أن يكون,"“I have understood what you mentioned of the matters of knowledge and reason,” said the King to the Philosopher, “and how a man of both benefits and gains merit. Now, tell me the parable of a man whose enemies are many, and being on the brink of perishing at their hands, sought to reconcile with them, since he feared them. Tell me about the nature of truce and how it should be.”",قال دبيشلم الملك لبيدبا الفيلسوف قد سمعت هذا المثل فاضرب لي مثل رجل كثر أعداؤه وأحدقوا به من كلّ جانب فأشرف معهم على الهلاك فالتمس النجاة والمخرج بموالاة بعض أعدائه ومصالحته فسلم من الخوف وأمن ثمّ وفى لمن صالحه منهم,"“I have heard this parable,” said King Dabīshalm to the Philosopher Baydabā. “Present to me now a parable about a man whose enemies were many and surrounded him on every side, so that he was on their account on the brink of perishing; from whom he, therefore, sought safety and a way out by partnering with one of the enemies, reconciling with him; who was thus saved from his fear and felt secure; and who then kept his promise to the one enemy whom he had reconciled with.”",قال ديشليم الملك لبيدنا الفيلسوف قد فهمت هذا المثل فاضرب لي مثل رجل ضعيف وأعداؤه كثيرة *وحضروه من كلّ مكان فأشفى على الهلاك فالتمس الصلح لبعض أعدائه فسلم بذلك ووفى لمن صالح وأخبرني عن موضع الصلح كيف ينبغي أن يُلتمس,"“I have understood this parable,” said King Dayshalīm to the Philosopher Baydanā. “Now tell me a parable about a man who was weak and his enemies were many and, blocking him from every side, put him on the brink of perishing, so he sought reconciliation with one of his enemies, thereby becoming safe, then kept his promise to the one with whom he had reconciled. So tell me about the nature of truce-how it should be sought.”",قال المَلك للفيلسوف قد فهمت ما ذكرت من أمر الحكم والعقل وما لصاحبهما من المنفعة فاضرب لي مثل هذا الرجل إذا كثر أعداؤه وأشرف على الهلكة فالتمس المخرج بمصالحة بعضهم فسلم ممّا تخوّف ووفى لمن صالحه وأخبرني عن موضع الصلح كيف يكون !محال,"“I have understood what you mentioned of the matters of government and reason,” said the King to the Philosopher, “and how a man of both stands to benefit. Now, tell me the parable of the man who, outnumbered by enemies and on the brink of perishing, sought a way out through reconciling with one of them, was saved from that which had frightened him, and kept his promise",قال المَلك للفيلسوف قد سمعت هذا المثل فاضرب لي مثل الرجل الذي يصير أعداؤه إلى الظفر به كيف يقدر على التخلّص منهم,"“I have heard this parable,” said the King to the Philosopher. “Present to me the parable of the man whose enemies are going to vanquish him-how can he get rid of them"
4,8dff9975-7896-4767-8d61-84595927c558,The Philosopher Responds that Emotions Change,قال الفيلسوف إنّ العداوة والمودّة والبغضاء ليس كلّها تثبت وتدوم وكثير من المودّة يتحوّل بغضًا وكثير من البغض يتحوّل محبّة ومودّة عن حوادث العلل والأمور,"The Philosopher said: “Not all instances of enmity, amity, and hatred become firm and endure. Much affection turns into hatred and much hatred turns into love and affection, as motives and conditions change; and",قال الفيلسوف إنّ العداوة والولاية لا تدوم ولا تثبت وكثير من المودّة يتحوّل بغضًا وكثير من البغضة تتحوّل مودّة عن حوادث العلل والأمور وربّما صار البغض حبًّا والحبّ بغضًا,"The Philosopher said: “Enmity and closeness do not endure and become firm. Much affection turns into hatred and much hatred turns into affection, as motives and conditions change- and hatred might also become love and love hatred.",قال الفيلسوف إنّ المودّة والعداوة لا يثبتان على حالة واحدة أبدًا وربّما حالت المودّة إلى العداوة وصارت العداوة ولاية ولهذا حوادث وعلل وتجارب,"The Philosopher said: “Amity and enmity do not sustain the same state forever: amity might become enmity and enmity might transform into amity. This entails circumstances, causes, and experiences;",قال الفيلسوف إنّ العداوة والولاية والمودّة والبغض ليس كلّها تدوم وتثبت وكثير من المودّة ربّما يتحوّل بغضًا وكثير من البغض يتحوّل مودّة عند حوادث العلل ومعارض الأمور,"The Philosopher said: “Not all instances of enmity, closeness, amity, and hatred endure and become firm. Much affection might turn into hatred, and much hatred does turn into into affection, at any change of motives and upon the arrival of new of circumstances;",<فقال> الفيلسوف إنّ العداوة والولاية ليس كلّها تدوم وتثبت وكثير من المودّة تتحوّل بغضًا وكثير من البغض يتحوّل مودّة عن حوادث العلل والأمور,"me about the nature of truce-how it is” The Philosopher said: Not all instances of enmity and closeness endure and are made firm. Much affection turns into hatred and much hatred turns into affection, as motives and conditions change;",قال الفيلسوف إنّه ينبغي لمن ظفر به أعداؤه وصار إليهم أن يلتمس صداقة بعض أعدائه ويتّخذه خليلًا ويصالحه ليهزم به سائر أعدائه فإنّه ليس كلّ حين يكون الصديق صديقًا ولا العدوّ عدوًّا فإذا رأى الصديق من صديقه كراهة صار منه إلى العداوة وإذا رأى العدوّ من عدوّه منفعة لم يقف على عداوته بل يرجع إلى الصداقة والصفاء,"The Philosopher said: “He who has been vanquished by his enemies and fallen victim to them should seek the friendship of one of the enemies, make him a dear friend, and enter into a pact with him, so as he can defeat, with his aid], the rest of his enemies. For a friend is not always a friend nor an enemy always an enemy: if a friend sees in his friend that which he abhors, he turns to enmity, and if the enemy sees profit to be had from his enemy, he doesn’t hold on to his enmity; rather, he changes to friendship and loyalty."
5,cf2994dc-8253-4e79-8455-05d78345291f,The Intelligent Adapts to Situations,وذوى الرأي والعقل يهيّئ لكلّ ما حدث من ذلك رأيًا من الطبع فيما يحدث من ذلك قبل العدوّ ولا بأس فيما عند الصديق,so a man of reason and intelligence prepares for all such arising events a natural judgment regarding that which ensues with an enemy-and there is no issue with the feelings of a friend.,,,وذو الرأي يحدث لكلّ ما يحدث رأيًا جديدًا أمّا من قبل العدوّ فبالبأس وأمّا من قبل الصديق فبالاستئناس,"and so a man of reason creates for whatever happens a new judgment: for that which comes from the enemy, he uses boldness; and for that which comes from friends, he fosters intimacy.",وذو الرأي يحدث لكلّ حادث من ذلك رأيًا ويعدّ له عدّته عند الطمع فيما قبل العدوّ واليأس بما عند الصديق,"and so a man of reason creates for every such instance a judgment and prepares resources for that accordingly, when he covets that which the enemy has to offer after being disappointed at what the friend couldn’t offer]. A man",فذو الرأي يتحرّك لكلّ ما يطرأ عليه من ذلك عملًا من الطبع فيما قبل العدوّ,and so a man of reason adapts to all such arising changes acting upon the character of the enemy before him.,والعالم هو الذي يصير عند الاضطرار إلى مصادقة أعدائه والذي لا يعلم تسنّد عنه الوجوه في ذلك ولا يعرف له سببًا ولا وجهًا حتّى يهلك في العماء,"The man of knowledge proceeds, when compelled, to befriend his enemies. And he who doesn’t know looses his way of things; and he recognizes neither motive nor direction until he perishes in blindness."
6,f41ab2e5-b602-4a67-83dc-35ed07a5f09d,Enmity Must Not Stop One from Requesting Help,ولا يمنعنّ ذا العقل عداوة كانت لعدوّه من مقاربته والتماس ما عنده إذا طمع منه في دفع مخوف ويُعمِل الرأي في إحداث المواصلة والموادعة,"A man of reason is not hindered by an enmity toward his enemy from approaching him and soliciting aid, if he desires him to avert a scary matter, and so he applies judgment in creating connection and reconciliation;",ولا يمنع ذو العقل عداوة كانت في نفسه لأحد من أقربائه ولا غيرهم من طلب ما عندهم إذا طمع فيه في دفع مخوف أو جرّ منفعة ولا يقصّر في الأخذ بالرأي في إحداث المواصلة,"A man of reason is not hindered by an enmity in his soul toward someone of his kin, or otherwise, from asking aid, if he so covets, to avert a scary matter or draw benefit; and he does not fail to use his judgement in creating a connection,",ولا تمنع عداوة ذا العقل من عاداه بالاستنجاد به على دفع مخوف أو جرّ مرغوب,"Enmity does not hinder a man of reason from … someone who had shown him hostility to seek his aid, if he desires him to avert a scary matter or attract a desired thing;",ولا يمنع ذا العقل عداوة كانت في نفسه لعدوّه من مقاربته والتماس ما عنده إذا طمع منه في دفع مخوف أو إجرار نفع ويُعمل الرأي في إحداث المواصلة والموادعة,"of reason is not hindered by an enmity in his soul toward his enemy from approaching him, soliciting aid, if he desires him to help avert a scary matter or draw benefit; so he applies judgment in bringing connection and reconciliation.",,,,
7,dc50bd0b-ef8a-4c7b-a566-b72be4792465,One's Disposition toward Friends and Foes Changes,,,,,,,,,,,,
8,dd5234fa-2b41-4d93-8053-31c30c0399a1,The Intelligent Man Could Make Friends or Foes ,,,,,,,,,,,,
9,23bb585b-795e-48fc-91d9-f04dd640b7ed,The Resolute Attains His Need,ومن أبصر الرأي في ذلك فأخذ فيه بالظفر بحاجته,for he who sees a fitting judgment for that and acts upon it to attain his need ...,فإنّه من أخذ في تقصير ذلك وعمل فيه بالحزم ظفر بحاجته وأدرك طلبته,for he who preempts such failure and acts diligently in this will attain his need and reach his pursuit.,ومن عمل في ذلك بالحزم ظفر,for he who acts diligently with regards to that will attain his need.,ومن أعمل رأيه في ذلك وأخذ بالحزم ظفر فيه بحاجته وخلص من ورطته,He who employs his judgment on this and acts with diligence will thereby attain his need and emerge from his predicament.,,,,
10,2f213521-7473-42cc-915b-d9327194a8c4, The Parable of the Cat and Rat Is Invoked,ومن أمثال ذلك مثل الجرذ والسنّور الذين اصطلحا حين كان ذلك الرأي لهما صوابًا وكان في صلحهما صلاحهما جميعًا ونجاتهما من الورطة الشديدة,"An example of this is the parable of the rat and the cat, who put their disagreements aside, when such judgment proved sensible to them, and in their agreement was the wellbeing of them both and rescue from dire difficulty.”",ومن أمثال ذلك مثل الجرذ والسنّور اللذين اصطلحا لمّا وقعا في الورطة والشدّة وكان في ذلك صلاحهما جميعًا,"An example of this is the parable of the rat and the cat, who put their disagreements aside when they fell into trouble and difficulty, and therein was the wellbeing of them both.”",ومثل ذلك مثل الجرذ والسّنور حين وقعا في الورطة فنجيا باصطلاحهما جميعًا من الورطة الشديدة,"An example of this is the parable of the cat and the rat, when they fell into trouble, yet were both saved, upon reconciling with one another, from dire difficulty.”",ومن أمثال ذلك مثل الجرذ والسنّور الذين اصطلحا حين وقعا في الورطة والشدّة وكان في ذلك خلاصهما جميعًا ممَّا وقعا فيه,"An example of this isthe parable of the rat and the cat, who put their disagreements aside when they fell into trouble and difficulty, and wherewith came deliverance for them both from what they had fallen into.”",*ومن المثل في ذلك مثل السنّور والجرذ الذين اصطلحا حين وقعا في الورطة والشدّة فكان في ذلك من صلحهم ما فيه *حياتهما,"An example of this is the parable of the cat and the rat, who put their disagreements aside when they fell",ومثل ذلك مثل السنّور والجرذ الذين تخلّصا من الشرك بمصانعة كلّ واحد منهما صاحبه,"A example of this is the parable of the cat and the rat, who escaped from a trap with either one doing the other a favor."
